date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:33	124244/124244	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2021:30:05%20GMT	http://www.clusterthemes.com/demo/insuranced/html/main.html	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/main.html	(from )
18:59:34	757/757	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2022%20Jun%202017%2014:59:33%20GMT	http://www.clusterthemes.com/robots.txt		(from )
18:59:34	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sun,%2026%20Feb%202017%2021:30:10%20GMT	http://www.clusterthemes.com/demo/insuranced/html/assets/images/favicon.ico	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/assets/images/favicon.ico	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
18:59:34	12363/12363	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2026%20Feb%202017%2021:30:12%20GMT	http://www.clusterthemes.com/demo/insuranced/html/assets/scripts/preload.min.js	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/assets/scripts/preload.min.js	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
18:59:35	757/757	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Thu,%2022%20Jun%202017%2014:59:34%20GMT	http://www.clusterthemes.com/demo/insuranced/html/.js-pop_up_tabs	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/.js-pop_up_tabs	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
18:59:37	3074/3074	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Feb%202017%2021:30:21%20GMT	http://www.clusterthemes.com/demo/insuranced/html/assets/images/design/logo-header.png	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/assets/images/design/logo-header.png	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
18:59:39	102565/102565	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2021:30:05%20GMT	http://www.clusterthemes.com/demo/insuranced/html/main-2.html	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/main-2.html	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
18:59:40	131811/131811	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2021:30:06%20GMT	http://www.clusterthemes.com/demo/insuranced/html/main-3.html	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/main-3.html	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
18:59:42	80881/80881	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2021:30:01%20GMT	http://www.clusterthemes.com/demo/insuranced/html/about_us.html	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/about_us.html	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
18:59:44	64977/64977	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2021:30:08%20GMT	http://www.clusterthemes.com/demo/insuranced/html/services.html	C:/Users/P501/Desktop/ogguug2/qw/www.clusterthemes.com/demo/insuranced/html/services.html	(from http://www.clusterthemes.com/demo/insuranced/html/main.html)
